"Короткое название";"URL имя";"Краткое описание";"Описание";"Артикул";"Вес";"Дата поступления";"Остаток";"Минимальное количество товара для заказа";"Показывать товар";"Предварительный заказ";"Загружен из";"Средний балл(рейтинг)";"Кол-во комментариев";"Прошлый ID";"Служебное поле";"Идентификатор в системе 1C";"Подпись к комплектациям";"Заголовок";"Ключевые слова";"Описание";"Налоги";"Единица измерения";"Бренд";"Основная категория";"Цены";"Фотографии";"Категории";"Бренд";"Рекомендуемые товары";"Сопутствующие товары";"Характеристики";"Многомерные комплектации";"Полный url к товару"
"Мужская зимняя куртка 0340";"muzhskaya-zimnyaya-kurtka-0340";;;"a000001";0;"2015-11-11 15:55:59";2;0;1;"default";;"0.0";;;;;;;;;"category";;"AutoJack";"Для мужчин/Зимние куртки";"Розничная:18500.00 RUB;
Зачеркнутая цена:20500.00 RUB";;"Для мужчин/Зимние куртки;
Спецпредложения;
Новинки";"AutoJack";;;"(Основные)Цвет:Красный;
(Основные)Размер:46|48|50;
(Основные)Мех:Енот Grey;
(Материалы и опции)Материалы:Soft Shell|Материал Hydroplus™|Система Back Ventilation System (BVS)|Система WarmSave|Ткань Strongtex|Трехмерная ткань Spacetec®;
(Материалы и опции)Опции:Анатомич. рукав|Градусник|Карман для документов|Кулиса с фурнитурой|Легкость в уходе|Съемный капюшон|Съемный мех;
(Спецификации)Капюшон:несъемный;
(Спецификации)Съемный мех:1;
(Спецификации)Ткань верха:Плащевая;
(Спецификации)Утеплитель:Valtherm;
(Спецификации)Подкладка:Aqua Trans, Omnipel, Schoeller, Gamtag, Heathcoat;
(Спецификации)Количество внутренних карманов:5;
(Спецификации)Количество наружных карманов:4;
(Спецификации)Паропроницаемость:5-10 000;
(Спецификации)Длина:на резинке;
(Спецификации)Регулировка объема рукава (пата):1;
(Спецификации)Сезон:зима;
(Спецификации)Анатомич. рукав:1;
(Спецификации)Внутренние манжеты:0;
(Спецификации)Градусник:1;
(Спецификации)BIG POCKET:1;
(Спецификации)Карман для документов:1;
(Спецификации)Карман для ключей:1;
(Спецификации)Карман для ручки:1;
(Спецификации)Карман для телефона:1;
(Спецификации)Стопор для наушников:0;
(Спецификации)Петля для наушников:0;
(Спецификации)Светоотраж. канты:1";"Размер:(Основные)Размер";"http://22.groupvm.z8.ru/product/muzhskaya-zimnyaya-kurtka-0340/"
"Мужская зимняя куртка 0355";"Muzhskaya-zimnyaya-kurtka-0355";;;"a000002";0;"2015-11-11 15:55:59";3;0;1;"default";;"0.0";;;;;;;;;"category";;"AutoJack";"Для мужчин/Зимние куртки";"Розничная:18500.00 RUB;
Зачеркнутая цена:20500.00 RUB";;"Для мужчин/Зимние куртки;
Спецпредложения;
Новинки";"AutoJack";;;"(Основные)Цвет:Черный;
(Основные)Размер:58|60;
(Основные)Мех:Енот Grey;
(Материалы и опции)Материалы:Soft Shell|Материал Hydroplus™|Система Back Ventilation System (BVS)|Система WarmSave|Ткань Strongtex|Трехмерная ткань Spacetec®;
(Материалы и опции)Опции:Анатомич. рукав|Градусник|Карман для документов|Кулиса с фурнитурой|Легкость в уходе|Съемный капюшон|Съемный мех;
(Спецификации)Капюшон:съемный;
(Спецификации)Съемный мех:1;
(Спецификации)Ткань верха:Плащевая;
(Спецификации)Утеплитель:Valtherm;
(Спецификации)Подкладка:Aqua Trans, Omnipel, Schoeller, Gamtag, Heathcoat;
(Спецификации)Количество внутренних карманов:5;
(Спецификации)Количество наружных карманов:5;
(Спецификации)Паропроницаемость:5-10 000;
(Спецификации)Длина:средняя;
(Спецификации)Регулировка объема рукава (пата):1;
(Спецификации)Сезон:зима;
(Спецификации)Анатомич. рукав:1;
(Спецификации)Внутренние манжеты:1;
(Спецификации)Градусник:1;
(Спецификации)BIG POCKET:1;
(Спецификации)Карман для документов:1;
(Спецификации)Карман для ключей:1;
(Спецификации)Карман для ручки:1;
(Спецификации)Карман для телефона:1;
(Спецификации)Стопор для наушников:0;
(Спецификации)Петля для наушников:0;
(Спецификации)Светоотраж. канты:1";"Размер:(Основные)Размер";"http://22.groupvm.z8.ru/product/muzhskaya-zimnyaya-kurtka-0355/"
"Мужская зимняя куртка 0399";"Muzhskaya-zimnyaya-kurtka-0399";;;"a000003";0;"2015-11-11 15:55:59";4;0;1;"default";;"0.0";;;;;;;;;"category";;"AutoJack";"Для мужчин/Зимние куртки";"Розничная:18500.00 RUB;
Зачеркнутая цена:20500.00 RUB";;"Для мужчин/Зимние куртки;
Спецпредложения;
Новинки";"AutoJack";;;"(Основные)Цвет:Оливковый;
(Основные)Размер:50|52|54|56|58|60|62;
(Основные)Мех:Енот Grey;
(Материалы и опции)Материалы:Soft Shell|Материал Hydroplus™|Система Back Ventilation System (BVS)|Система WarmSave|Ткань Strongtex|Трехмерная ткань Spacetec®;
(Материалы и опции)Опции:Анатомич. рукав|Градусник|Карман для документов|Кулиса с фурнитурой|Легкость в уходе|Съемный капюшон|Съемный мех;
(Спецификации)Капюшон:съемный;
(Спецификации)Съемный мех:1;
(Спецификации)Ткань верха:Плащевая;
(Спецификации)Утеплитель:Valtherm;
(Спецификации)Подкладка:Aqua Trans, Omnipel, Schoeller, Gamtag, Heathcoat;
(Спецификации)Количество внутренних карманов:5;
(Спецификации)Количество наружных карманов:6;
(Спецификации)Паропроницаемость:5-10 000;
(Спецификации)Длина:на пиджак;
(Спецификации)Регулировка объема рукава (пата):0;
(Спецификации)Сезон:зима;
(Спецификации)Анатомич. рукав:1;
(Спецификации)Внутренние манжеты:1;
(Спецификации)Градусник:1;
(Спецификации)BIG POCKET:1;
(Спецификации)Карман для документов:1;
(Спецификации)Карман для ключей:1;
(Спецификации)Карман для ручки:1;
(Спецификации)Карман для телефона:1;
(Спецификации)Стопор для наушников:1;
(Спецификации)Петля для наушников:1;
(Спецификации)Светоотраж. канты:1";"Размер:(Основные)Размер";"http://22.groupvm.z8.ru/product/muzhskaya-zimnyaya-kurtka-0399/"
"Мужская зимняя куртка 0412";"Muzhskaya-zimnyaya-kurtka-0412";;;"a000004";0;"2015-11-11 15:55:59";5;0;1;"default";;"0.0";;;;;;;;;"category";;"AutoJack";"Для мужчин/Зимние куртки";"Розничная:18500.00 RUB;
Зачеркнутая цена:20500.00 RUB";;"Для мужчин/Зимние куртки;
Спецпредложения;
Новинки";"AutoJack";;;"(Основные)Цвет:Бежевый|Серый;
(Основные)Размер:48|50|52|54|56|58;
(Основные)Мех:Енот Grey;
(Материалы и опции)Материалы:Soft Shell|Материал Hydroplus™|Система Back Ventilation System (BVS)|Система WarmSave|Ткань Strongtex|Трехмерная ткань Spacetec®;
(Материалы и опции)Опции:Анатомич. рукав|Градусник|Карман для документов|Кулиса с фурнитурой|Легкость в уходе|Съемный капюшон|Съемный мех;
(Спецификации)Капюшон:съемный;
(Спецификации)Съемный мех:1;
(Спецификации)Ткань верха:Плащевая;
(Спецификации)Утеплитель:Valtherm;
(Спецификации)Подкладка:Aqua Trans, Omnipel, Schoeller, Gamtag, Heathcoat;
(Спецификации)Количество внутренних карманов:5;
(Спецификации)Количество наружных карманов:4;
(Спецификации)Паропроницаемость:5-10 000;
(Спецификации)Длина:на резинке;
(Спецификации)Регулировка объема рукава (пата):1;
(Спецификации)Сезон:зима;
(Спецификации)Анатомич. рукав:1;
(Спецификации)Внутренние манжеты:1;
(Спецификации)Градусник:1;
(Спецификации)BIG POCKET:1;
(Спецификации)Карман для документов:1;
(Спецификации)Карман для ключей:1;
(Спецификации)Карман для ручки:1;
(Спецификации)Карман для телефона:1;
(Спецификации)Стопор для наушников:1;
(Спецификации)Петля для наушников:1;
(Спецификации)Светоотраж. канты:1";"Размер:(Основные)Размер";"http://22.groupvm.z8.ru/product/muzhskaya-zimnyaya-kurtka-0412/"
